Name,HP
Arctic Tern,2
Bat,2
Hedgehog,2
Lemming,2
Ptarmigan,2
Puffin,2
Thrush,2
Toad,2
Arctic Hare,3
Cat,3
Conshee,3
Flying Squirrel,3
Gremlin,3
Lizard,3
Mite,3
Mite,3
Platypus,3
Rabbit,3
Raven,3
Shadow Rat,3
Skunk,3
Sprite,3
Squirrel,3
Turtle,3
Viper,3
Albino Cave Spider,4
Archaeopteryx,4
Armadillo,4
Beheaded,4
Blue-Ringed Octopus,4
Brownie,4
Elder Witchlights,4
Ermine,4
Fire Beetle,4
Fox,4
Giant Botfly,4
Giant Mosquito,4
Greensting Scorpion,4
Greensting Scorpion,4
Grig,4
Grimple,4
Haniver,4
Hawk,4
House Centipede,4
Human Skeleton,4
Killmoulis,4
Lesser Fire Crab,4
Mimi,4
Monkey,4
Nymph Water Strider,4
Ochre Eurypterid,4
Otter,4
Owl,4
Poison Frog,4
Poisonous Frog,4
Quipper,4
Raccoon,4
Raccoon,4
Rat,4
Rat-Ghouls,4
Redcap,4
Rhamphorhynchus,4
Scarlet Spider,4
Scarlet Spider,4
Seal,4
Severed Head,4
Skull Spider,4
Skull Spider,4
Skunk,4
Small Barracuda,4
Small Stingray,4
Snowy Owl,4
Spire Monkey,4
Sprite,4
Tiny Monstrous Sea Wasp,4
Vegepygmy Commoner,4
Weasel,4
Alpluachra,5
Arctic Fox,5
Baboon,5
Barrow Rat,5
Biloko,5
Black Spot,5
Cave Cricket,5
Changeling,5
Clockwork Drone,5
Clockwork Scout,5
Clockwork Spy,5
Dire Rat,5
Donkey Rat,5
Drow,5
Eagle,5
Flaming Skull,5
Floating Eye,5
Fox,5
Giant Centipede,5
Giant Flea,5
Giant Flea,5
Goat,5
Great Horned Owl,5
Grindylow,5
Jaculi,5
King Crab,5
Kitsune,5
Kobold,5
Land Lamprey,5
Larval Slime Crawler,5
Leaf Leshy,5
Mandragora,5
Mantari,5
Medium Monstrous Sea Wasp,5
Muckdweller,5
Nilbog,5
Nupperibo Devil,5
Porcupine,5
Sloth,5
Small Acid Quasi-elemental,5
Small Monstrous Sea Wasp,5
Small Obsidian Quasi-elemental,5
Small Salt Elemental,5
Snapping Turtle,5
Soul Nibbler,5
Stirge,5
Strix,5
Syrinx,5
Tooth Fairy,5
Trumpeter Swan,5
Tuatara,5
Vegepygmy,5
Vilstrak,5
Vulchling,5
Wizard's Shackle,5
Al-mi'raj,6
Al-Mi'raj,6
Amber Ooze,6
Antelope,6
Blood Hawk,6
Compsognathus,6
Dodo,6
Dog,6
Dwarf Caiman,6
Formian Worker,6
Giant Isopod,6
Gillman,6
Goblin,6
Gribbon,6
Jinkin,6
Kangaroo,6
Killer Frog,6
Lesser Shadow,6
Llama,6
Orc,6
Pig,6
Podokesaurus,6
Pugwampi,6
Skvader,6
Vapor Dire Rat,6
Vulture,6
Dire Shadow Rat,7
Ectoplasmic Human,7
Fuath,7
Gathlain,7
Ghost-faced Orc,7
Giant Maggot,7
Greenskin Orc,7
Grippli,7
Kuah-lij,7
Leprechaun,7
Merfolk,7
Pestie,7
Sagari,7
Sanguine Ooze Swarm,7
Talorani,7
Thylacine,7
Xothotak,7
Abyssal Larva,8
Black Orc,8
Blood Orc,8
Burrowing Lamprey,8
Carbuncle,8
Changeling,8
Duergar,8
Giant Cockroach,8
Human,8
Ifrit,8
Phlegmatic Ooze Swarm,8
Ratfolk,8
Silid,8
Undine,8
Vexgit,8
Wayang,8
Amoeba Swarm,9
Asrai,9
Atomie,9
Badger,9
Brownie,9
Chon Chon,9
Crawling Hand,9
Dragonfish,9
Festrog,9
Flumph,9
Flumph,9
Fyr,9
Giant Tick,9
Giant Weasel,9
Goblin Dog,9
Gourd Leshy,9
Hollow Helm,9
Huggermugger,9
Isitoq,9
Jackal,9
Jynx,9
Locathah,9
